Store,Days,Date, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,
18,"05, Oct, 12","Friday, 5 October 2012"," $1,092,205 ",0,59.68,4.027,138.8256,8.243,
19,"05, Oct, 12","Friday, 5 October 2012"," $1,408,016 ",0,59.86,4.151,138.8256,7.992,
20,"05, Oct, 12","Friday, 5 October 2012"," $2,246,412 ",0,60.77,3.985,215.9258865,7.293,
21,"05, Oct, 12","Friday, 5 October 2012"," $651,769 ",0,70.28,3.617,222.8159296,6.17,
22,"05, Oct, 12","Friday, 5 October 2012"," $1,009,887 ",0,62.09,4.027,142.8516833,7.543,
23,"05, Oct, 12","Friday, 5 October 2012"," $1,464,617 ",0,56.65,4.027,138.8256,4.145,
24,"05, Oct, 12","Friday, 5 October 2012"," $1,416,721 ",0,60.35,4.151,138.8256,8.693,
25,"05, Oct, 12","Friday, 5 October 2012"," $699,537 ",0,57.58,3.985,215.9258865,7.293,
26,"05, Oct, 12","Friday, 5 October 2012"," $1,095,504 ",0,54.07,4.027,138.8256,7.138,
27,"05, Oct, 12","Friday, 5 October 2012"," $1,591,817 ",0,64.5,4.151,142.8516833,8,
28,"05, Oct, 12","Friday, 5 October 2012"," $1,462,941 ",0,81.61,3.966,131.0756667,10.199,
29,"05, Oct, 12","Friday, 5 October 2012"," $520,633 ",0,62.09,4.027,138.8256,9.151,
30,"05, Oct, 12","Friday, 5 October 2012"," $446,751 ",0,70.28,3.617,222.8159296,6.17,
31,"05, Oct, 12","Friday, 5 October 2012"," $1,363,365 ",0,70.28,3.617,222.8159296,6.17,
32,"05, Oct, 12","Friday, 5 October 2012"," $1,202,775 ",0,55.34,3.779,198.8221322,7.557,
33,"05, Oct, 12","Friday, 5 October 2012"," $265,445 ",0,85.18,4.132,131.0756667,6.895,
34,"05, Oct, 12","Friday, 5 October 2012"," $968,897 ",0,65.41,3.62,131.0756667,8.839,
35,"05, Oct, 12","Friday, 5 October 2012"," $866,064 ",0,64.5,3.985,142.8516833,8.665,
36,"05, Oct, 12","Friday, 5 October 2012"," $277,138 ",0,73.57,3.611,221.8533396,6.228,
37,"05, Oct, 12","Friday, 5 October 2012"," $546,122 ",0,73.57,3.617,221.8533396,6.228,
38,"05, Oct, 12","Friday, 5 October 2012"," $458,479 ",0,81.61,3.966,131.0756667,10.199,
39,"05, Oct, 12","Friday, 5 October 2012"," $1,574,409 ",0,72.05,3.617,221.8533396,6.228,
40,"05, Oct, 12","Friday, 5 October 2012"," $1,069,112 ",0,57.21,4.027,138.8256,4.145,
41,"05, Oct, 12","Friday, 5 October 2012"," $1,400,161 ",0,50.14,3.779,198.8221322,6.195,
42,"05, Oct, 12","Friday, 5 October 2012"," $593,163 ",0,80.88,4.132,131.0756667,6.943,
43,"05, Oct, 12","Friday, 5 October 2012"," $642,615 ",0,74.09,3.617,214.4912667,8.839,
44,"05, Oct, 12","Friday, 5 October 2012"," $337,390 ",0,61.79,3.815,131.0756667,5.217,
45,"05, Oct, 12","Friday, 5 October 2012"," $733,455 ",0,64.89,3.985,192.1704115,8.667,
1,"28, Sep, 12","Friday, 28 September 2012"," $1,437,059 ",0,76.08,3.666,222.9816579,6.908,
2,"28, Sep, 12","Friday, 28 September 2012"," $1,746,471 ",0,79.45,3.666,222.6164329,6.565,
3,"28, Sep, 12","Friday, 28 September 2012"," $389,813 ",0,77.46,3.666,226.5180926,6.334,
4,"28, Sep, 12","Friday, 28 September 2012"," $2,027,620 ",0,71.74,3.666,131.043,4.077,
5,"28, Sep, 12","Friday, 28 September 2012"," $310,142 ",0,78.33,3.666,223.5741019,5.603,
6,"28, Sep, 12","Friday, 28 September 2012"," $1,369,131 ",0,77.82,3.666,224.6029706,5.668,
7,"28, Sep, 12","Friday, 28 September 2012"," $525,546 ",0,50.64,3.789,198.5903276,7.872,
8,"28, Sep, 12","Friday, 28 September 2012"," $884,724 ",0,71.1,3.666,226.5675714,5.401,
9,"28, Sep, 12","Friday, 28 September 2012"," $516,361 ",0,76.8,3.666,226.7630732,5.277,
10,"28, Sep, 12","Friday, 28 September 2012"," $1,694,862 ",0,82.52,3.966,131.043,7.17,
11,"28, Sep, 12","Friday, 28 September 2012"," $1,227,431 ",0,77.67,3.666,226.5180926,6.334,
12,"28, Sep, 12","Friday, 28 September 2012"," $880,416 ",0,81.22,3.966,131.043,10.926,
13,"28, Sep, 12","Friday, 28 September 2012"," $1,927,664 ",0,64.8,3.821,131.043,5.765,
14,"28, Sep, 12","Friday, 28 September 2012"," $1,522,512 ",0,64.88,3.997,192.0135577,8.684,
15,"28, Sep, 12","Friday, 28 September 2012"," $553,902 ",0,57.13,4.158,138.7395,8.193,
16,"28, Sep, 12","Friday, 28 September 2012"," $469,608 ",0,51.4,3.789,198.5903276,6.061,
17,"28, Sep, 12","Friday, 28 September 2012"," $972,716 ",0,57.77,3.821,131.043,5.936,
18,"28, Sep, 12","Friday, 28 September 2012"," $1,002,856 ",0,58.24,4.018,138.7395,8.535,
19,"28, Sep, 12","Friday, 28 September 2012"," $1,338,299 ",0,56.81,4.158,138.7395,8.193,
20,"28, Sep, 12","Friday, 28 September 2012"," $2,008,351 ",0,58.65,3.997,215.7367162,7.28,
21,"28, Sep, 12","Friday, 28 September 2012"," $647,098 ",0,80.38,3.666,222.6164329,6.565,
22,"28, Sep, 12","Friday, 28 September 2012"," $976,480 ",0,62.17,4.018,142.76575,7.753,
23,"28, Sep, 12","Friday, 28 September 2012"," $1,319,035 ",0,53.71,4.018,138.7395,4.156,
24,"28, Sep, 12","Friday, 28 September 2012"," $1,259,278 ",0,58.86,4.158,138.7395,8.953,
25,"28, Sep, 12","Friday, 28 September 2012"," $683,301 ",0,54.52,3.997,215.7367162,7.28,
26,"28, Sep, 12","Friday, 28 September 2012"," $964,726 ",0,50.66,4.018,138.7395,7.405,
27,"28, Sep, 12","Friday, 28 September 2012"," $1,540,688 ",0,64.92,4.158,142.76575,8.239,
28,"28, Sep, 12","Friday, 28 September 2012"," $1,129,509 ",0,81.22,3.966,131.043,10.926,
29,"28, Sep, 12","Friday, 28 September 2012"," $489,674 ",0,62.17,4.018,138.7395,9.419,
30,"28, Sep, 12","Friday, 28 September 2012"," $425,410 ",0,80.38,3.666,222.6164329,6.565,
31,"28, Sep, 12","Friday, 28 September 2012"," $1,279,081 ",0,80.38,3.666,222.6164329,6.565,
32,"28, Sep, 12","Friday, 28 September 2012"," $1,157,111 ",0,60.62,3.789,198.5903276,7.872,
33,"28, Sep, 12","Friday, 28 September 2012"," $242,814 ",0,86.42,3.966,131.043,7.147,
34,"28, Sep, 12","Friday, 28 September 2012"," $928,629 ",0,67.06,3.666,131.043,9.285,
35,"28, Sep, 12","Friday, 28 September 2012"," $814,100 ",0,64.92,3.997,142.76575,8.839,
36,"28, Sep, 12","Friday, 28 September 2012"," $270,678 ",0,79.49,3.66,221.6556,6.623,
37,"28, Sep, 12","Friday, 28 September 2012"," $527,953 ",0,79.49,3.666,221.6556,6.623,
38,"28, Sep, 12","Friday, 28 September 2012"," $398,468 ",0,81.22,3.966,131.043,10.926,
39,"28, Sep, 12","Friday, 28 September 2012"," $1,495,607 ",0,78.04,3.666,221.6556,6.623,
40,"28, Sep, 12","Friday, 28 September 2012"," $919,595 ",0,50.98,4.018,138.7395,4.156,
41,"28, Sep, 12","Friday, 28 September 2012"," $1,307,928 ",0,56.08,3.789,198.5903276,6.432,
42,"28, Sep, 12","Friday, 28 September 2012"," $505,978 ",0,82.52,3.966,131.043,7.17,
43,"28, Sep, 12","Friday, 28 September 2012"," $577,792 ",0,77.55,3.666,214.30525,9.285,
44,"28, Sep, 12","Friday, 28 September 2012"," $355,308 ",0,64.8,3.821,131.043,5.407,
45,"28, Sep, 12","Friday, 28 September 2012"," $713,174 ",0,64.88,3.997,192.0135577,8.684,
1,"21, Sep, 12","Friday, 21 September 2012"," $1,506,126 ",0,69.87,3.721,222.7818386,6.908,
2,"21, Sep, 12","Friday, 21 September 2012"," $1,829,416 ",0,71.09,3.721,222.4169362,6.565,
3,"21, Sep, 12","Friday, 21 September 2012"," $414,392 ",0,72.78,3.721,226.3151496,6.334,
4,"21, Sep, 12","Friday, 21 September 2012"," $2,119,439 ",0,68.97,3.721,131.0103333,4.077,
5,"21, Sep, 12","Friday, 21 September 2012"," $307,307 ",0,71.09,3.721,223.3737593,5.603,
6,"21, Sep, 12","Friday, 21 September 2012"," $1,425,604 ",0,70.81,3.721,224.4017192,5.668,
7,"21, Sep, 12","Friday, 21 September 2012"," $530,842 ",0,51.77,3.765,198.358523,7.872,
8,"21, Sep, 12","Friday, 21 September 2012"," $857,796 ",0,66.96,3.721,226.3645848,5.401,
9,"21, Sep, 12","Friday, 21 September 2012"," $533,757 ",0,69.92,3.721,226.5599138,5.277,
10,"21, Sep, 12","Friday, 21 September 2012"," $1,671,858 ",0,81.93,4.125,131.0103333,7.17,
11,"21, Sep, 12","Friday, 21 September 2012"," $1,326,133 ",0,73.64,3.721,226.3151496,6.334,
12,"21, Sep, 12","Friday, 21 September 2012"," $922,735 ",0,82.97,4.125,131.0103333,10.926,
13,"21, Sep, 12","Friday, 21 September 2012"," $1,938,380 ",0,67.96,3.821,131.0103333,5.765,
14,"21, Sep, 12","Friday, 21 September 2012"," $1,565,352 ",0,65.32,4.038,191.8567038,8.684,
15,"21, Sep, 12","Friday, 21 September 2012"," $533,162 ",0,60.34,4.203,138.6534,8.193,
16,"21, Sep, 12","Friday, 21 September 2012"," $509,943 ",0,56.48,3.765,198.358523,6.061,
17,"21, Sep, 12","Friday, 21 September 2012"," $938,303 ",0,58.43,3.821,131.0103333,5.936,
18,"21, Sep, 12","Friday, 21 September 2012"," $971,387 ",0,60.23,4.056,138.6534,8.535,
19,"21, Sep, 12","Friday, 21 September 2012"," $1,338,572 ",0,60.62,4.203,138.6534,8.193,
20,"21, Sep, 12","Friday, 21 September 2012"," $2,028,587 ",0,60.94,4.038,215.5475459,7.28,
21,"21, Sep, 12","Friday, 21 September 2012"," $667,151 ",0,71.54,3.721,222.4169362,6.565,
22,"21, Sep, 12","Friday, 21 September 2012"," $921,613 ",0,63.38,4.056,142.6798167,7.753,
23,"21, Sep, 12","Friday, 21 September 2012"," $1,338,628 ",0,56.8,4.056,138.6534,4.156,
24,"21, Sep, 12","Friday, 21 September 2012"," $1,261,158 ",0,61.25,4.203,138.6534,8.953,
25,"21, Sep, 12","Friday, 21 September 2012"," $664,745 ",0,57.6,4.038,215.5475459,7.28,
26,"21, Sep, 12","Friday, 21 September 2012"," $961,084 ",0,52.68,4.056,138.6534,7.405,
27,"21, Sep, 12","Friday, 21 September 2012"," $1,557,486 ",0,66.1,4.203,142.6798167,8.239,
28,"21, Sep, 12","Friday, 21 September 2012"," $1,135,340 ",0,82.97,4.125,131.0103333,10.926,
29,"21, Sep, 12","Friday, 21 September 2012"," $489,079 ",0,63.38,4.056,138.6534,9.419,
30,"21, Sep, 12","Friday, 21 September 2012"," $443,892 ",0,71.54,3.721,222.4169362,6.565,
31,"21, Sep, 12","Friday, 21 September 2012"," $1,373,065 ",0,71.54,3.721,222.4169362,6.565,
32,"21, Sep, 12","Friday, 21 September 2012"," $1,159,120 ",0,63.49,3.765,198.358523,7.872,
33,"21, Sep, 12","Friday, 21 September 2012"," $252,710 ",0,86.53,4.125,131.0103333,7.147,
34,"21, Sep, 12","Friday, 21 September 2012"," $943,048 ",0,66.08,3.721,131.0103333,9.285,
